method_id , masked_method_id ,	prediction_size ,	is_perfect_prediction RoBERTa , is_perfect_prediction baseline
1131680,3134011,19,False,False
1131681,3134013,19,False,False
1131682,3134016,9,False,False
1131683,3134018,12,False,False
1131683,3134019,5,False,False
1131683,3134020,14,False,False
1131689,3134038,11,False,False
1131696,3134058,11,False,False
1131702,3134068,9,False,False
1131708,3134102,6,False,False
1131708,3134103,8,False,False
1131710,3134106,7,False,False
1131711,3134109,19,False,False
1131711,3134110,11,False,False
1131712,3134112,3,False,False
1131712,3134115,13,False,False
1131712,3134116,11,False,False
1131714,3134121,18,False,False
1131721,3134152,21,False,False
1131721,3134153,26,False,False
1131721,3134154,15,False,False
1131722,3134156,6,False,False
1131722,3134157,18,False,False
1131722,3134158,9,False,False
1131724,3134162,5,False,False
1131732,3136661,2,True,False
1131732,3136662,2,True,False
1131733,3136666,28,False,False
1131736,3136675,15,False,False
1131736,3136676,14,False,False
1131738,3136679,20,False,False
1131740,3136682,16,False,False
1131740,3136683,9,False,False
1131742,3136687,17,False,False
1131742,3136688,34,False,False
1131742,3136689,21,False,False
1131743,3136691,3,False,False
1131745,3136695,5,False,False
1131749,3136702,11,False,False
1131750,3136704,15,False,False
1131750,3136705,9,False,False
1131752,3136713,10,False,False
1131752,3136714,10,False,False
1131758,3136753,8,False,False
1131758,3136754,2,False,False
1131761,3136762,19,False,False
1131761,3136763,11,False,False
1131761,3136764,18,False,False
1131772,3136793,9,False,False
1131773,3136796,13,False,False
1131775,3136799,3,False,False
1131778,3136806,5,False,False
1131778,3136807,18,False,False
1131778,3136808,14,False,False
1131784,3136819,9,False,False
1131784,3136820,5,False,False
1131785,3136822,6,False,False
1131785,3136823,11,False,False
1131786,3136825,4,False,True
1131786,3136826,13,False,False
1131788,3136835,20,False,False
1131788,3136837,15,False,False
1131792,3136850,16,False,False
1131793,3136853,13,False,False
1131794,3136855,12,False,False
1131799,3136874,11,False,False
1131800,3136876,17,False,False
1131800,3136877,28,False,False
1131801,3136879,2,False,False
1131801,3136880,15,False,False
1131802,3136883,9,False,False
1131803,3136886,9,False,False
1131803,3136887,8,False,True
1131806,3136892,18,False,False
1131808,3136895,20,False,False
1131808,3136896,8,False,False
1131811,3136922,7,False,False
1131811,3136923,7,False,False
1131811,3136924,7,False,False
1131811,3136925,7,False,False
1131816,3136950,4,False,True
1131817,3136952,18,False,False
1131817,3136953,3,False,False
1131819,3136959,27,False,False
1131819,3136960,8,False,True
1131832,3137659,23,False,False
1131832,3137660,11,False,False
1131833,3137664,21,False,False
1131833,3137666,9,False,False
1131836,3137670,11,False,False
1131837,3137673,5,False,False
1131837,3137674,10,False,False
1131842,3137686,18,False,False
1131842,3137687,17,False,False
1131842,3137688,20,False,False
1131848,3137710,7,False,False
1131848,3137711,25,False,False
1131848,3137712,19,False,False
1131849,3137715,23,False,False
1131849,3137716,5,True,False
1131852,3137721,15,False,False
1131855,3137726,12,False,False
1131856,3137729,4,True,True
1131856,3137730,10,False,False
1131860,3137740,3,True,True
1131860,3137741,3,False,False
1131865,3137773,33,False,False
1131865,3137774,13,False,False
1131870,3137789,18,False,False
1131872,3137792,5,True,False
1131872,3137793,5,True,False
1131873,3137795,11,False,False
1131873,3137796,13,False,False
1131874,3137798,9,False,False
1131874,3137799,9,False,False
1131874,3137800,11,False,False
1131874,3137801,18,False,False
1131877,3137806,13,False,False
1131879,3137809,4,True,True
1131879,3137810,9,False,False
1131879,3137811,14,False,False
1131881,3137814,13,False,False
1131883,3137819,17,False,False
1131883,3137820,6,False,False
1131886,3137828,9,False,False
1131893,3137853,16,False,False
1131893,3137854,8,False,True
1131904,3137884,5,True,False
1131904,3137885,5,True,False
1131913,3137932,10,False,False
1131913,3137933,2,True,False
1131918,3137944,9,False,False
1131918,3137945,9,False,False
1131922,3137956,17,False,False
1131925,3137961,4,False,False
1131925,3137962,5,False,False
1131925,3137963,4,False,False
1131928,3140654,5,True,False
1131928,3140655,5,True,False
1131928,3140656,5,True,False
1131928,3140657,5,True,False
1131928,3140658,5,True,False
1131928,3140659,5,True,False
1131933,3140669,5,False,False
1131935,3140675,19,False,False
1131937,3140683,6,False,False
1131937,3140684,11,False,False
