method_id , masked_method_id ,	prediction_size ,	is_perfect_prediction RoBERTa , is_perfect_prediction baseline
1131848,8656229,7,False,False
1131848,8656230,1,False,False
1131848,8656231,1,True,False
1131848,8656232,2,False,False
1131848,8656234,1,True,True
1131848,8656236,1,True,False
1131849,8656271,3,False,False
1131849,8656274,1,True,False
1131849,8656276,3,False,False
1131849,8656277,1,True,False
1131850,8656288,7,False,False
1131850,8656289,1,True,False
1131850,8656290,1,True,True
1131850,8656293,1,True,True
1131851,8656312,1,True,False
1131852,8656327,5,False,True
1131852,8656329,1,False,False
1131853,8656380,8,False,False
1131853,8656381,1,True,False
1131855,8656544,3,True,True
1131855,8656545,3,False,False
1131855,8656546,5,False,False
1131856,8656619,3,False,False
1131856,8656620,5,True,False
1131856,8656621,5,True,False
1131856,8656623,1,False,False
1131856,8656625,1,False,False
1131856,8656627,1,False,False
1131857,8656666,3,True,True
1131857,8656667,5,True,False
1131857,8656668,5,True,False
1131857,8656672,9,False,False
1131860,8656914,3,True,False
1131863,8657549,5,True,True
1131863,8657551,6,False,False
1131863,8657552,6,False,False
1131865,8657748,1,True,False
1131865,8657749,10,False,False
1131865,8657750,1,True,False
1131865,8657756,5,False,False
1131865,8657757,7,False,False
1131866,8657794,1,True,False
1131866,8657795,1,False,False
1131866,8657796,5,False,False
1131870,8658067,5,False,False
1131870,8658068,9,False,False
1131870,8658070,5,False,False
1131870,8658073,1,True,False
1131871,8658132,1,True,False
1131871,8658133,1,False,False
1131872,8658196,9,False,False
1131873,8658298,2,True,True
1131873,8658299,5,False,False
1131873,8658300,1,True,False
1131874,8658302,2,False,False
1131874,8658303,2,True,False
1131874,8658306,3,False,False
1131874,8658307,1,True,False
1131874,8658309,3,False,False
1131874,8658310,10,False,False
1131875,8658320,3,False,False
1131876,8658466,5,False,False
1131876,8658467,5,False,False
1131876,8658468,5,False,False
1131877,8658665,3,True,False
1131877,8658668,3,False,False
1131877,8658669,1,False,False
1131877,8658670,1,True,False
1131878,8658682,1,True,False
1131878,8658685,6,False,False
1131878,8658686,1,True,False
1131878,8658687,1,True,False
1131878,8658688,1,True,False
1131878,8658689,1,True,False
1131878,8658691,10,False,False
1131878,8658692,10,False,False
1131878,8658693,10,False,False
1131878,8658694,10,False,False
1131878,8658695,3,False,False
1131879,8658722,3,False,True
1131879,8658723,3,True,False
1131879,8658725,1,True,False
1131879,8658727,1,False,False
1131879,8658728,6,False,False
1131879,8658729,1,True,False
1131879,8658730,7,False,False
1131881,8658808,3,False,False
1131881,8658809,1,True,False
1131881,8658810,3,False,False
1131883,8659071,3,False,False
1131883,8659072,6,False,False
1131883,8659074,3,False,False
1131885,8659121,1,True,True
1131885,8659122,1,False,False
1131885,8659123,5,True,True
1131885,8659126,1,False,False
1131885,8659127,7,False,False
1131885,8659129,1,True,False
1131886,8659177,4,False,False
1131886,8659178,1,True,False
1131886,8659179,4,False,False
1131887,8659190,1,True,False
1131887,8659191,1,True,False
1131887,8659195,3,False,False
1131887,8659196,3,False,False
1131887,8659198,6,False,False
1131888,8659305,3,False,False
1131888,8659306,5,False,False
1131889,8659500,1,True,True
1131889,8659501,3,False,False
1131889,8659502,1,True,False
1131891,8659753,3,True,False
