method_id , masked_method_id ,	prediction_size ,	is_perfect_prediction RoBERTa , is_perfect_prediction baseline
585586,21622,5,True,True
585588,21631,16,False,False
585590,21637,5,False,False
585590,21638,4,False,False
585594,21642,15,False,False
585594,21643,9,False,False
585599,21658,12,False,False
585601,21670,9,False,False
585603,21674,9,False,False
585605,21678,11,False,False
585605,21679,31,False,False
585605,21680,3,False,False
585607,21682,7,False,False
585612,21705,21,False,False
585615,21710,12,False,False
585615,21711,9,False,False
585617,21718,13,False,False
585617,21719,13,False,False
585618,21722,15,False,False
585619,21724,6,False,False
585621,21726,9,False,False
585628,21758,7,False,False
585630,21761,9,False,False
585630,21762,16,False,False
585630,21763,5,True,True
585631,21765,7,False,False
585636,21776,20,False,False
585636,21777,8,False,False
585638,21780,5,True,True
585638,21781,5,True,True
585638,21782,5,False,False
585640,21785,19,False,False
585640,21786,18,False,False
585644,21818,9,False,False
585647,21827,5,False,False
585648,21829,18,False,False
585651,21841,4,False,False
585651,21842,15,False,False
585651,21843,26,False,False
585651,21844,11,False,False
585654,21850,15,False,False
585657,23313,10,False,False
585659,23316,13,False,False
585659,23317,15,False,False
585659,23318,7,False,False
585660,23319,9,False,False
585660,23320,21,False,False
585661,23322,23,False,False
585661,23323,17,False,False
585662,23325,16,False,False
585666,23333,13,False,False
585671,23364,9,False,False
585672,23366,14,False,False
585673,23368,11,False,False
585673,23369,22,False,False
585675,23371,16,False,False
585677,23376,9,False,False
585677,23377,9,False,False
585683,23408,8,False,False
585686,23425,15,False,False
585686,23426,15,False,False
585686,23427,8,False,False
585688,23433,23,False,False
585689,23435,2,False,False
585689,23437,3,False,False
585690,23439,8,False,False
585692,23442,17,False,False
585692,23443,22,False,False
585692,23444,5,False,True
585693,23446,17,False,False
585696,23458,9,False,False
585698,23462,9,False,False
585700,23466,15,False,False
585702,23473,18,False,False
585702,23474,9,False,False
585703,23476,14,False,False
585704,23478,27,False,False
585704,23479,16,False,False
585705,23482,7,False,False
585705,23483,9,False,False
585708,23508,8,False,False
585708,23509,9,False,False
585709,23511,5,False,True
585710,23513,14,False,False
585710,23514,5,False,True
585717,23543,5,False,False
585720,23561,25,False,False
585720,23562,19,False,False
585722,23570,5,False,False
585722,23571,4,False,False
585722,23572,5,False,False
585722,23573,15,False,False
585731,23603,32,False,False
585731,23604,18,False,False
585735,23609,5,False,False
585735,23610,5,False,False
585735,23611,5,False,False
585735,23612,9,False,False
585735,23613,5,False,True
585738,23624,11,False,False
585738,23625,13,False,False
585740,23628,12,False,False
585742,23633,10,False,False
585757,26589,19,False,False
585758,26590,5,False,False
585759,26592,19,False,False
585759,26593,9,False,False
585766,26611,5,False,False
585767,26613,8,False,False
585767,26614,13,False,False
585771,26622,9,False,False
585773,26630,15,False,False
585775,26632,8,False,False
585776,26635,11,False,False
585781,26669,9,False,False
585782,26671,10,False,False
585782,26672,10,False,False
585783,26674,9,False,False
585783,26675,17,False,False
585784,26676,9,False,False
585786,26684,22,False,False
585791,26705,9,False,False
585791,26707,9,False,False
585795,26721,4,False,False
585795,26722,10,False,False
585795,26723,9,False,False
585796,26726,8,False,False
585799,26729,2,True,False
585800,26731,3,False,False
585800,26732,21,False,False
585801,26735,21,False,False
585801,26736,18,False,False
585803,26740,5,False,False
585803,26741,5,True,False
585805,26745,7,False,False
585805,26747,7,False,False
585806,26749,11,False,False
585806,26750,9,False,False
585809,26757,19,False,False
585810,26759,15,False,False
585810,26761,15,False,False
585811,26763,4,True,False
585811,26764,11,False,False
585811,26765,9,False,False
585811,26766,16,False,False
585812,26768,30,False,False
585814,26770,7,False,False
585814,26771,17,False,False
585820,26783,11,False,False
585820,26784,15,False,False
585820,26785,11,False,False
585828,26841,15,False,False
585830,26854,11,False,False
585834,26871,7,False,False
585834,26872,7,False,False
585835,26874,28,False,False
585835,26875,18,False,False
585836,26877,14,False,False
585836,26878,14,False,False
585839,26892,24,False,False
585839,26893,11,False,False
585839,26894,9,False,False
585839,26895,9,False,False
585840,26898,3,False,False
585840,26899,14,False,False
585840,26900,14,False,False
585844,26914,7,True,False
585844,26915,7,False,False
585846,26931,8,False,False
585847,26933,9,False,False
585850,26949,13,False,False
585850,26950,6,False,False
585858,29343,5,False,True
585866,29366,7,False,False
585866,29368,7,False,False
585866,29369,7,False,False
585866,29370,7,False,False
585866,29371,7,False,False
585867,29373,32,False,False
585869,29376,8,False,False
585869,29377,6,False,False
585876,29414,7,False,False
585881,29423,32,False,False
585885,29447,9,False,False
585885,29448,9,False,False
585888,29455,13,False,False
585889,29457,14,False,False
585891,29467,25,False,False
585893,29471,15,False,False
585895,29479,9,False,False
585895,29480,11,False,False
585896,29482,11,False,False
585900,29497,13,False,False
585900,29498,13,False,False
585900,29499,19,False,False
585900,29500,7,False,False
585902,29504,14,False,False
585902,29505,11,False,False
585902,29506,19,False,False
585904,29518,13,False,False
585904,29519,13,False,False
585906,29528,9,True,False
585906,29529,6,False,False
585910,29538,19,False,False
585910,29539,10,False,False
585911,29542,9,False,False
585915,29553,9,False,False
585916,29555,11,False,False
585916,29556,11,False,False
585917,29558,14,False,False
585919,29561,15,False,False
585920,29562,11,False,False
585921,29566,5,False,False
585921,29567,6,False,False
585921,29568,2,True,True
585922,29571,13,False,False
585922,29572,12,False,False
585924,29579,3,False,False
585927,29583,12,False,False
585928,29585,23,False,False
585928,29586,19,False,False
585929,29588,6,False,False
585936,29611,10,False,False
585936,29612,9,True,True
585939,29629,5,False,False
585939,29630,10,False,False
585942,29647,8,False,False
585942,29649,8,False,False
585943,29651,4,False,False
585945,29656,14,False,False
585949,29661,4,True,False
585950,29663,10,False,False
585950,29664,9,False,False
585951,29666,20,False,False
585951,29667,10,False,False
585954,29680,3,True,False
585954,29681,3,True,False
585958,33286,18,False,False
585961,33292,7,False,False
585962,33294,25,False,False
585962,33295,11,False,False
585968,33319,16,False,False
585968,33320,9,False,False
585971,33328,6,False,False
585971,33329,18,False,False
585973,33333,15,False,False
585976,33340,14,False,False
585976,33341,5,False,False
585976,33342,16,False,False
585976,33343,5,False,False
585976,33344,13,False,False
585977,33346,9,True,False
585981,33360,25,False,False
585983,33364,14,False,False
585983,33365,21,False,False
585985,33368,19,False,False
585985,33369,18,False,False
585987,33385,10,False,False
585987,33386,15,False,False
585987,33387,15,False,False
585989,33394,5,False,False
585989,33396,20,False,False
585992,33401,13,False,False
585992,33402,8,False,False
585994,33417,2,True,False
586001,33485,12,False,False
586006,33500,28,False,False
586009,33509,3,False,False
586010,33511,9,False,False
586016,33527,8,False,False
586016,33528,9,False,False
586019,33548,9,False,False
586019,33549,9,False,False
586019,33550,13,False,False
586020,33552,9,False,False
586021,33553,14,False,False
586023,33557,7,False,False
586023,33558,7,False,False
586025,33564,5,True,True
586032,33587,11,False,False
586034,33589,11,False,False
586037,33594,20,False,False
586041,33608,17,False,False
586045,33622,16,False,False
586051,33648,10,False,False
586054,33655,12,False,False
586054,33656,15,False,False
586056,35833,13,False,False
586060,35839,6,False,False
586063,35843,13,False,False
586073,35868,9,False,False
586073,35869,6,False,False
586073,35870,8,False,False
586074,35873,4,False,False
586074,35874,9,False,False
586075,35875,10,False,False
586083,35919,11,False,False
586083,35920,19,False,False
586083,35921,6,False,False
586090,35940,13,False,False
586098,35961,15,False,False
586098,35962,15,False,False
586098,35963,15,False,False
586101,35969,6,True,False
586101,35970,6,False,False
586106,35991,9,False,False
586106,35992,5,False,False
586108,35996,3,False,False
586108,35997,9,False,False
586108,35998,9,False,False
586111,36001,12,False,False
586112,36003,23,False,False
586116,36032,13,False,False
586116,36033,5,False,False
586119,36036,11,False,False
586122,36046,5,False,False
586129,36068,3,True,False
586129,36069,3,True,False
586130,36072,17,False,False
586134,36116,12,False,False
586135,36119,13,False,False
586143,36142,9,False,False
586144,36144,4,True,False
586146,36147,15,False,False
586146,36148,15,False,False
586146,36149,11,False,False
586148,36151,14,False,False
586152,36160,11,False,False
586155,40343,4,True,False
586158,40358,24,False,False
586161,40367,18,False,False
586164,40384,9,False,False
586165,40386,2,True,False
586165,40387,25,False,False
586172,40398,9,False,False
586173,40400,9,False,False
586176,40413,3,False,False
586176,40414,42,False,False
586176,40415,24,False,False
586176,40416,6,False,False
586177,40418,5,False,False
586177,40419,5,False,False
586177,40420,5,True,False
586179,40429,19,False,False
586180,40431,11,False,False
586181,40433,3,True,True
586181,40434,19,False,False
586182,40437,19,False,False
586182,40438,17,False,False
586182,40439,9,False,True
586187,40458,8,False,False
586188,40460,9,False,True
586195,40505,18,False,False
586196,40506,11,False,False
586197,40508,18,False,False
586203,40524,11,False,False
586207,40539,9,False,False
586207,40540,21,False,False
586207,40541,5,False,False
586207,40542,5,False,False
586208,40545,12,False,False
586214,40565,5,False,False
586214,40566,5,False,False
586215,40568,17,False,False
586216,40570,2,True,False
586216,40571,2,True,False
586218,40573,13,False,False
586220,40580,3,False,False
586227,40604,9,False,False
586227,40605,16,False,False
586227,40606,9,False,False
586230,40636,7,False,False
586235,40659,9,False,False
586235,40660,13,False,False
586239,40664,9,False,False
586239,40665,13,False,False
586243,40676,13,False,False
586245,40684,9,False,False
586248,40700,4,False,False
586248,40701,13,False,False
586248,40702,7,False,False
586250,40706,8,False,False
586251,40708,5,False,False
586256,43824,8,False,False
586256,43825,11,False,False
586256,43826,3,False,False
586262,43846,8,False,False
586263,43849,13,False,False
586264,43851,16,False,False
586271,43872,12,False,False
586272,43874,10,False,False
586272,43875,20,False,False
586274,43879,5,True,True
586275,43882,15,False,False
586275,43883,7,False,False
586276,43884,13,False,False
586280,43891,9,False,False
586280,43892,8,False,False
586280,43893,8,False,False
586287,43926,16,False,False
586287,43927,22,False,False
586288,43929,24,False,False
586289,43930,16,False,False
586290,43932,5,False,False
586294,43949,15,False,False
586294,43950,15,False,False
586300,43983,9,False,False
586301,43985,11,False,False
586301,43986,22,False,False
586301,43987,9,False,False
586302,43989,9,True,False
586302,43990,28,False,False
586302,43991,17,False,False
586305,43995,11,False,False
586310,44010,12,False,False
586312,44018,9,False,False
586312,44019,7,False,False
586314,44023,8,False,False
586315,44025,8,False,False
586315,44026,15,False,False
586315,44027,23,False,False
586315,44028,21,False,False
586316,44030,3,False,False
586317,44032,14,False,False
586319,44040,16,False,False
586319,44041,7,False,False
586325,44065,19,False,False
586325,44066,5,True,False
586326,44068,3,True,False
586326,44069,3,False,False
586328,44073,5,True,False
586328,44075,5,False,False
586328,44076,6,False,False
586330,44086,2,False,False
586330,44087,8,False,False
586331,44088,2,False,False
586334,44092,21,False,False
586335,44094,5,True,False
586339,44119,2,False,False
586339,44121,11,False,False
586343,44136,11,False,False
586347,44173,5,True,False
586355,44212,14,False,False
586357,47635,14,False,False
586365,47701,5,True,False
586365,47703,8,False,False
586366,47705,9,False,False
586367,47706,14,False,False
586371,47719,5,False,True
586371,47720,5,True,True
586371,47721,21,False,False
586371,47722,8,False,False
586375,47742,19,False,False
586377,47744,5,False,False
586378,47747,5,False,False
586382,47756,13,False,False
586382,47757,9,False,False
586384,47763,3,False,False
586384,47764,18,False,False
586384,47765,6,False,False
586384,47766,25,False,False
586386,47779,11,False,False
586386,47780,9,False,False
586387,47783,14,False,False
586391,47790,14,False,False
586395,47795,13,False,False
586401,47829,6,False,False
586401,47830,12,False,False
586401,47831,16,False,False
586401,47832,3,False,False
586405,47850,9,False,False
586405,47851,9,False,False
586407,47854,14,False,False
586409,47859,14,False,False
586410,47860,13,False,False
586412,47862,11,False,False
586412,47863,24,False,False
586412,47864,10,False,False
586412,47865,8,False,False
586414,47878,16,False,False
586422,47922,11,False,False
586422,47923,9,False,False
586424,47932,8,False,False
586428,47945,12,False,False
586433,47962,15,False,False
586433,47963,18,False,False
586433,47964,16,False,False
586434,47965,16,False,False
586435,47967,12,False,False
586435,47968,12,False,False
586439,47985,22,False,False
586440,47987,5,False,False
586440,47988,5,False,False
586440,47989,5,False,False
586440,47990,5,False,False
586442,47994,13,False,False
586444,48037,9,False,False
586444,48038,15,False,False
586445,48040,21,False,False
