method_id , masked_method_id ,	prediction_size ,	is_perfect_prediction RoBERTa , is_perfect_prediction baseline
585654,68641,3,False,False
585654,68642,9,False,False
585655,68643,6,False,False
585655,68644,1,True,True
585656,72576,3,False,True
585656,72577,3,False,False
585656,72578,3,False,False
585656,72579,3,True,False
585657,72581,1,False,False
585658,72585,3,False,False
585658,72587,5,False,False
585659,72606,2,True,False
585659,72607,2,False,False
585659,72610,1,True,False
585659,72611,1,True,True
585659,72613,1,True,False
585659,72616,1,True,False
585660,72704,5,False,False
585661,72828,3,True,True
585662,72874,5,False,False
585662,72875,3,False,False
585662,72876,8,False,False
585666,72994,1,True,True
585666,72995,5,False,False
585668,73067,1,False,False
585671,73147,3,True,False
585671,73148,3,True,False
585671,73149,1,True,True
585671,73150,3,False,False
585671,73151,3,False,False
585671,73152,1,True,False
585672,73170,6,False,False
585672,73172,3,False,False
585673,73210,1,True,False
585673,73211,5,False,False
585673,73212,5,False,False
585673,73213,5,False,False
585675,73282,5,True,False
585677,73354,8,False,False
585677,73355,8,False,False
585677,73358,1,True,False
585677,73359,1,True,False
585681,73542,1,True,False
585681,73544,3,False,False
585683,73582,1,True,False
585686,73852,1,True,True
585686,73855,5,True,False
585686,73856,5,False,False
585688,73950,1,True,False
585688,73951,3,False,False
585688,73952,1,False,False
585689,74042,3,False,False
585689,74043,5,True,False
585689,74051,9,False,False
585690,74066,7,False,False
585690,74067,1,True,False
585690,74068,1,True,False
585691,74091,7,False,False
585691,74092,7,False,False
585691,74093,1,True,False
585691,74094,1,True,False
585692,74132,3,True,False
585692,74133,3,True,False
585693,74192,5,True,False
585695,74296,1,False,False
585698,74792,5,False,False
585698,74793,4,False,False
585698,74796,1,False,True
585698,74797,1,True,True
585698,74798,1,True,True
585699,74813,1,True,False
585699,74815,1,True,False
585700,74816,4,False,False
585700,74817,5,False,False
585702,74994,2,False,False
585703,75035,1,False,True
585703,75036,3,False,False
585703,75037,3,False,False
585704,75045,2,False,False
585704,75047,7,False,False
585704,75048,3,False,False
585704,75049,3,False,False
585705,75057,9,False,False
585705,75058,2,False,False
585705,75059,1,False,False
585705,75062,1,True,False
585705,75063,1,False,False
585708,75250,6,False,False
585708,75251,1,True,False
585708,75252,4,True,False
585708,75253,4,True,False
585708,75254,1,False,True
585708,75255,1,True,False
585708,75256,1,True,False
585709,75293,7,False,False
585709,75294,5,False,False
585710,75357,6,False,False
585710,75359,1,True,False
585710,75360,1,True,False
585712,75471,1,True,False
585712,75472,6,False,False
585712,75474,1,True,False
585717,75651,3,False,False
585717,75652,1,False,False
585717,75655,1,False,False
585717,75657,5,False,False
585720,75715,2,False,False
585720,75717,9,False,False
585722,75763,3,False,False
585722,75764,5,False,False
585722,75765,3,False,False
585722,75766,1,False,False
585724,75796,1,True,True
585724,75797,1,True,False
585724,75798,1,True,False
585725,75835,1,False,False
585725,75837,9,False,False
585725,75838,1,True,False
585730,75982,5,False,False
585731,76006,4,True,False
585731,76007,9,False,False
585731,76008,1,True,False
585731,76009,7,False,False
585731,76010,10,False,False
585731,76014,5,False,False
585733,76063,1,True,True
585733,76064,1,True,False
585734,76067,5,False,False
585734,76068,3,False,False
585735,76080,6,False,False
585735,76081,3,False,False
585735,76082,3,False,False
585735,76083,3,False,False
585735,76084,1,True,False
585735,76085,1,True,False
585736,76101,1,True,True
585736,76103,3,False,False
585738,76186,2,True,False
585738,76187,3,False,False
585739,76192,1,True,False
585739,76193,1,True,False
585740,76200,6,False,False
585740,76201,1,False,True
585740,76202,3,True,False
585742,76356,3,False,False
585745,76489,1,False,False
585745,76490,1,True,False
585745,76491,1,True,False
585746,76499,8,False,False
585746,76500,1,True,True
585747,76567,1,True,True
585747,76568,3,False,False
585747,76576,7,False,False
585747,76577,1,True,False
585747,76578,1,True,False
585749,76672,1,True,True
585749,76673,1,True,True
585753,76800,8,False,False
585753,76801,8,False,False
585753,76802,1,False,False
585753,76803,1,False,False
585754,76882,3,False,False
585757,82972,8,False,False
585757,82973,1,False,True
585759,82990,2,False,False
585759,82991,1,True,False
585759,82992,3,True,False
585759,82993,5,False,False
585763,83049,1,True,False
585764,83084,1,True,False
585764,83085,3,False,False
585764,83087,3,False,False
585764,83088,3,False,False
585764,83089,3,False,False
585764,83090,3,False,False
585766,83151,3,False,False
585766,83152,7,False,False
585766,83153,7,False,False
585766,83154,1,False,False
585766,83155,1,True,False
585767,83165,4,False,False
585767,83166,5,False,False
585769,83175,3,False,False
585769,83176,3,False,False
585769,83177,3,False,False
585769,83178,3,False,False
585769,83179,8,False,False
585771,83202,3,True,True
585771,83203,1,True,True
585771,83204,1,True,True
585773,83227,3,True,False
585773,83231,7,False,False
585775,83243,1,True,True
585776,83248,7,False,False
585776,83250,4,False,False
585776,83251,4,False,False
585782,83385,1,True,True
585782,83386,1,True,False
585782,83387,1,True,False
585783,83408,3,True,True
585784,83410,3,False,False
585786,83472,3,True,False
585786,83473,1,True,False
585791,83544,3,True,False
585791,83545,3,False,False
585794,83626,1,False,False
585795,83629,3,True,False
585795,83630,2,True,False
585795,83632,1,True,False
585796,83652,3,True,False
585796,83653,9,False,False
585796,83654,1,True,True
585799,83695,3,True,True
585799,83696,7,False,False
585800,83704,4,False,False
585800,83707,7,False,False
585801,83727,4,True,True
585801,83728,1,True,False
585801,83730,5,False,False
585801,83733,3,False,False
585801,83734,1,True,False
585802,83737,1,True,False
585802,83738,1,True,False
585802,83739,1,True,False
585803,83745,3,False,False
585803,83746,7,False,False
585803,83747,1,True,False
585803,83748,4,False,False
585805,83757,3,True,False
585805,83758,4,True,False
585805,83761,1,False,False
585805,83762,1,True,False
585806,83764,3,True,False
585806,83765,10,False,False
585806,83768,3,False,False
585807,83774,1,False,True
585807,83775,1,False,True
585807,83776,8,False,False
585809,83815,3,True,True
585809,83816,9,False,False
585810,83820,4,False,False
585810,83821,9,False,False
585810,83822,9,False,False
585810,83823,1,True,True
585810,83824,1,False,True
585811,83838,3,True,True
585811,83839,6,False,False
585811,83840,2,False,True
585811,83841,3,False,False
585811,83842,1,True,False
585811,83843,3,False,False
585811,83844,10,False,False
585811,83846,1,True,True
585814,83866,5,False,False
585814,83867,3,True,False
585817,83896,3,True,False
585817,83898,1,False,False
585820,83919,2,True,False
585820,83920,7,True,False
585820,83921,5,False,False
585820,83922,1,True,True
585820,83923,1,True,False
585821,83925,7,False,False
585826,84072,1,True,False
585828,84148,1,False,False
585830,84183,9,False,False
585830,84184,3,False,False
585830,84185,1,True,False
585830,84186,1,True,False
585830,84187,3,False,False
585833,84245,5,False,False
585833,84246,5,False,False
585834,84253,7,False,False
585834,84254,8,False,False
585834,84258,1,True,False
585834,84259,3,False,False
585834,84260,1,True,False
585835,84264,5,False,False
585835,84265,7,False,False
585835,84266,1,True,False
585835,84267,10,False,False
585835,84268,5,False,False
585835,84269,1,True,False
585835,84272,1,False,False
585836,84274,2,True,False
585839,84358,3,False,False
585839,84359,1,False,False
585839,84360,8,False,False
585839,84361,1,False,True
585839,84362,1,True,True
585839,84363,3,False,False
585840,84364,5,False,False
585840,84365,9,False,False
585840,84369,7,False,False
585840,84370,7,False,False
